"January 20, 2019 at 00:00AM",work
"January 20, 2019 at 00:00AM",work
"January 20, 2019 at 00:00AM",work
"January 20, 2019 at 00:00AM",work
"January 20, 2019 at 00:00AM",work
"January 20, 2019 at 00:00AM",home
"January 20, 2019 at 00:00AM",home
"January 20, 2019 at 00:00AM",school
"January 20, 2019 at 00:00AM",school
"January 20, 2019 at 00:00AM",school
"January 20, 2019 at 00:00AM",school
"January 20, 2019 at 00:00AM",school
"January 20, 2019 at 00:00AM",school
"January 21, 2019 at 09:21AM",work
"January 21, 2019 at 10:18AM",work
"January 23, 2019 at 10:13AM",school
"January 23, 2019 at 04:55PM",school
"January 24, 2019 at 12:30PM",work
"January 28, 2019 at 08:18AM",work
"January 28, 2019 at 08:50AM",at work
"January 29, 2019 at 01:47PM",work
"January 29, 2019 at 01:48PM",work
"February 1, 2019 at 11:16AM",work
"February 1, 2019 at 06:18PM",work
"February 6, 2019 at 11:42AM",school
"February 7, 2019 at 12:14PM",work
"February 10, 2019 at 05:13PM",visit
"February 11, 2019 at 01:58PM",school
"February 15, 2019 at 09:09AM",work
"February 16, 2019 at 04:34PM",visit
"February 16, 2019 at 05:35PM",visit
"February 17, 2019 at 03:13PM",home
"February 17, 2019 at 03:13PM",home
"February 17, 2019 at 03:13PM",home
"February 18, 2019 at 10:06AM",work
"February 18, 2019 at 11:31AM",work
"February 21, 2019 at 10:32AM",work
"February 21, 2019 at 12:15PM",work
"February 22, 2019 at 04:53PM",visit
"February 24, 2019 at 05:58PM",visit
"February 24, 2019 at 06:30PM",visit
"February 24, 2019 at 07:08PM",visit
"February 26, 2019 at 07:51PM",diner
"February 27, 2019 at 08:02AM",work
"February 27, 2019 at 08:42AM",work
"February 27, 2019 at 09:25AM",work
"February 27, 2019 at 06:07PM",work
"February 28, 2019 at 10:44AM",work
"March 1, 2019 at 01:09PM",work
"March 2, 2019 at 02:09PM",home
"March 2, 2019 at 02:09PM",home
"March 3, 2019 at 11:29AM",home
"March 4, 2019 at 10:45AM",work
"March 5, 2019 at 10:52AM",work
"March 5, 2019 at 11:22AM",work
"March 7, 2019 at 11:07AM",diner
"March 7, 2019 at 11:07AM",work
"March 7, 2019 at 11:07AM",diner
"March 7, 2019 at 12:00PM",work
"March 8, 2019 at 09:19AM",work
"March 8, 2019 at 09:55AM",work
"March 13, 2019 at 07:20PM",home
"March 13, 2019 at 07:20PM",home
"March 13, 2019 at 07:20PM",home
"March 14, 2019 at 07:11AM",home
"March 14, 2019 at 05:07PM",home
"March 14, 2019 at 05:58PM",home
"March 17, 2019 at 02:34PM",home
"March 19, 2019 at 01:15PM",home
"March 20, 2019 at 09:47AM",school
"March 21, 2019 at 10:42AM",visit
"March 24, 2019 at 10:58AM",home
"March 26, 2019 at 08:10PM",home
"March 26, 2019 at 09:08PM",home
"March 26, 2019 at 09:19PM",home
"March 27, 2019 at 08:55AM",home
"March 27, 2019 at 10:13AM",home
"March 28, 2019 at 05:58PM",home
"March 28, 2019 at 06:20PM",home
"March 28, 2019 at 07:22PM",home
"March 28, 2019 at 08:18PM",home
"March 29, 2019 at 10:41AM",work
"March 30, 2019 at 11:15AM",home
"March 30, 2019 at 12:46PM",home
"March 30, 2019 at 12:46PM",home
"April 2, 2019 at 12:17PM",work
"April 2, 2019 at 01:12PM",work
"April 5, 2019 at 08:53AM",visit
"April 5, 2019 at 08:53AM",work
"April 5, 2019 at 09:20AM",work
"April 5, 2019 at 10:09AM",work
"April 5, 2019 at 10:09AM",work
"April 6, 2019 at 02:52PM",visit
"April 6, 2019 at 02:52PM",visit
"April 7, 2019 at 08:36AM",diner
"April 7, 2019 at 08:36AM",diner
"April 7, 2019 at 08:36AM",visit
"April 8, 2019 at 10:50AM",work
"April 8, 2019 at 12:53PM",work
"April 9, 2019 at 10:58AM",work
"April 11, 2019 at 11:36AM",work
"April 12, 2019 at 10:08AM",work
"April 12, 2019 at 10:46AM",work
"April 12, 2019 at 11:48AM",work
"April 13, 2019 at 08:21AM",home
"April 13, 2019 at 08:22AM",home
"April 15, 2019 at 01:10AM",home
"April 15, 2019 at 02:07AM",home
"April 15, 2019 at 02:57AM",home
